1 100 -5 5 100
0.000 1.000
0.063 0.998
0.127 0.992
0.190 0.982
0.254 0.968
0.317 0.950
0.381 0.928
0.444 0.903
0.508 0.874
0.571 0.841
0.635 0.805
0.698 0.766
0.762 0.724
0.825 0.679
0.889 0.631
0.952 0.580
1.015 0.527
1.079 0.472
1.142 0.415
1.206 0.357
1.269 0.297
1.333 0.236
1.396 0.174
1.460 0.111
1.523 0.048
1.587 -0.016
1.650 -0.079
1.714 -0.142
1.777 -0.205
1.841 -0.266
1.904 -0.327
1.967 -0.386
2.031 -0.444
2.094 -0.500
2.158 -0.554
2.221 -0.606
2.285 -0.655
2.348 -0.701
2.412 -0.745
2.475 -0.786
2.539 -0.824
2.602 -0.858
2.666 -0.889
2.729 -0.916
2.793 -0.940
2.856 -0.959
2.919 -0.975
2.983 -0.987
3.046 -0.995
3.110 -0.999
3.173 -0.999
3.237 -0.995
3.300 -0.987
3.364 -0.975
3.427 -0.959
3.491 -0.940
3.554 -0.916
3.618 -0.889
3.681 -0.858
3.745 -0.824
3.808 -0.786
3.871 -0.745
3.935 -0.701
3.998 -0.655
4.062 -0.606
4.125 -0.554
4.189 -0.500
4.252 -0.444
4.316 -0.386
4.379 -0.327
4.443 -0.266
4.506 -0.205
4.570 -0.142
4.633 -0.079
4.697 -0.016
4.760 0.048
4.823 0.111
4.887 0.174
4.950 0.236
5.014 0.297
5.077 0.357
5.141 0.415
5.204 0.472
5.268 0.527
5.331 0.580
5.395 0.631
5.458 0.679
5.522 0.724
5.585 0.766
5.649 0.805
5.712 0.841
5.775 0.874
5.839 0.903
5.902 0.928
5.966 0.950
6.029 0.968
6.093 0.982
6.156 0.992
6.220 0.998
6.283 1.000
