1 100 -5 5 100
-1.571 1.557
-1.539 1.799
-1.507 2.103
-1.476 2.501
-1.444 3.049
-1.412 3.860
-1.380 5.200
-1.349 7.861
-1.317 15.836
-1.285 -2485.475
-1.253 -15.636
-1.222 -7.811
-1.190 -5.177
-1.158 -3.848
-1.127 -3.041
-1.095 -2.495
-1.063 -2.099
-1.031 -1.796
-1.000 -1.555
-0.968 -1.357
-0.936 -1.191
-0.904 -1.048
-0.873 -0.923
-0.841 -0.812
-0.809 -0.711
-0.777 -0.620
-0.746 -0.535
-0.714 -0.456
-0.682 -0.382
-0.651 -0.311
-0.619 -0.242
-0.587 -0.176
-0.555 -0.111
-0.524 -0.047
-0.492 0.016
-0.460 0.080
-0.428 0.144
-0.397 0.210
-0.365 0.277
-0.333 0.347
-0.301 0.419
-0.270 0.496
-0.238 0.578
-0.206 0.666
-0.175 0.762
-0.143 0.867
-0.111 0.985
-0.079 1.119
-0.048 1.273
-0.016 1.454
0.016 1.672
0.048 1.942
0.079 2.287
0.111 2.751
0.143 3.411
0.175 4.436
0.206 6.266
0.238 10.517
0.270 31.907
0.301 -31.107
0.333 -10.428
0.365 -6.233
0.397 -4.419
0.428 -3.401
0.460 -2.744
0.492 -2.282
0.524 -1.938
0.555 -1.669
0.587 -1.451
0.619 -1.271
0.651 -1.117
0.682 -0.983
0.714 -0.866
0.746 -0.760
0.777 -0.665
0.809 -0.577
0.841 -0.495
0.873 -0.418
0.904 -0.346
0.936 -0.276
0.968 -0.209
1.000 -0.143
1.031 -0.079
1.063 -0.015
1.095 0.048
1.127 0.112
1.158 0.177
1.190 0.243
1.222 0.311
1.253 0.383
1.285 0.457
1.317 0.536
1.349 0.621
1.380 0.713
1.412 0.813
1.444 0.924
1.476 1.050
1.507 1.193
1.539 1.359
1.571 1.557
